Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
C110689,00399,METAL PINK DECORATION,1,2009-12-01 00:35:05,3.35,11000,Germany
C105707,F0299,JUMBO GREEN CANDLE,1,2009-12-01 01:23:41,1.69,11655,Japan
C105707,C0206,FABRIC BLACK CANDLE,1,2009-12-01 01:23:41,5.46,11655,Japan
C107306,00432,JUMBO GREEN HOLDER,1,2009-12-01 01:34:51,6.73,11676,United Kingdom
C105484,P0128,JUMBO SILVER SIGN,1,2009-12-01 01:43:58,5.39,10445,Germany
C111303,00099,METAL IVORY SIGN,3,2009-12-01 02:15:04,8.14,11833,United Kingdom
C117587,00015,METAL WHITE SIGN,2,2009-12-01 02:18:46,8.72,10889,United Kingdom
C117587,00060,JUMBO GOLD BOX,2,2009-12-01 02:18:46,27.23,10889,United Kingdom
C117587,Q0322,CERAMIC  BOX,2,2009-12-01 02:18:46,1.23,10889,United Kingdom
C117587,X0460,VINTAGE RED STORAGE,4,2009-12-01 02:18:46,2.51,10889,United Kingdom
C109838,T0374,GLASS GREEN FRAME,2,2009-12-01 02:21:31,2.7,10879,Spain
C114716,S0452,CERAMIC WHITE STORAGE,1,2009-12-01 02:56:16,5.67,11724,United Kingdom
C114716,00153,JUMBO  HEART,4,2009-12-01 02:56:16,8.7,11724,United Kingdom
C110674,C0064,VINTAGE IVORY LANTERN,1,2009-12-01 03:35:28,2.94,10141,United Kingdom
C113215,00339,PAPER  FRAME,1,2009-12-01 03:54:37,1.46,11900,United Kingdom
C113215,00033,METAL GREEN BUNTING,1,2009-12-01 03:54:37,1.66,11900,United Kingdom
C119582,00495,MINI RED BOX,2,2009-12-01 04:42:49,4.82,10352,United Kingdom
C117061,C0484,VINTAGE GOLD CANDLE,1,2009-12-01 05:01:33,3.58,10055,United Kingdom
C118594,00465,GLASS  SIGN,4,2009-12-01 05:09:35,3.06,11157,Germany
C118594,N0100,METAL PINK FRAME,1,2009-12-01 05:09:35,2.22,11157,Germany
C106458,G0403,CERAMIC GREEN BUNTING,2,2009-12-01 05:37:47,3.55,10285,United Kingdom
C123239,00096,JUMBO GOLD HOLDER,2,2009-12-01 05:50:18,12.55,11668,United Kingdom
C114155,00282,FABRIC  LANTERN,2,2009-12-01 06:46:46,0.89,10023,Netherlands
C114155,W0014,WOODEN BLUE HOLDER,4,2009-12-01 06:46:46,5.38,10023,Netherlands
C114155,T0002,METAL WHITE BUNTING,4,2009-12-01 06:46:46,11.72,10023,Netherlands
C112331,B0037,RETRO  BUNTING,1,2009-12-01 06:53:03,5.14,11618,Netherlands
C104066,00240,VINTAGE WHITE HOLDER,1,2009-12-01 07:04:04,1.2,10820,United Kingdom
C103435,F0475,METAL RED BOX,1,2009-12-01 08:24:50,1.18,10238,Netherlands
C119019,R0118,RETRO BLACK STORAGE,1,2009-12-01 09:07:31,4.87,10763,United Kingdom
C101896,00312,METAL IVORY DECORATION,2,2009-12-01 09:08:32,1.37,11153,United Kingdom
C109633,W0059,RETRO PINK SIGN,1,2009-12-01 09:12:30,4.7,11314,United Kingdom
C102158,T0392,WOODEN  FRAME,1,2009-12-01 09:30:03,10.97,10663,United Kingdom
C118451,Z0323,WOODEN PINK CANDLE,1,2009-12-01 09:40:05,5.02,10147,United Kingdom
C118451,00459,RETRO  HOLDER,6,2009-12-01 09:40:05,5.15,10147,United Kingdom
C118451,D0362,JUMBO WHITE HEART,6,2009-12-01 09:40:05,2.54,10147,United Kingdom
C118451,A0350,JUMBO RED BUNTING,2,2009-12-01 09:40:05,5.54,10147,United Kingdom
C101120,J0238,PAPER PINK DECORATION,1,2009-12-01 09:42:18,3.99,10606,United Kingdom
C101120,00108,VINTAGE GREEN BUNTING,2,2009-12-01 09:42:18,3.21,10606,United Kingdom
C121323,N0488,JUMBO BLUE LANTERN,4,2009-12-01 09:45:46,3.7,10143,United Kingdom
C110063,R0490,FABRIC GOLD FRAME,2,2009-12-01 09:47:43,19.37,11432,United Kingdom
C110063,N0127,METAL  BUNTING,1,2009-12-01 09:47:43,7.15,11432,United Kingdom
C116587,Y0062,FABRIC GREEN BOX,4,2009-12-01 09:51:25,8.06,11052,Belgium
C115636,R0421,RETRO  CANDLE,2,2009-12-01 09:58:37,3.11,11520,United Kingdom
C115293,00357,MINI BLACK HOLDER,1,2009-12-01 10:00:01,2.04,10878,United Kingdom
C115293,X0203,MINI BLUE STORAGE,3,2009-12-01 10:00:01,6.49,10878,United Kingdom
C115293,00033,METAL GREEN BUNTING,1,2009-12-01 10:00:01,1.71,10878,United Kingdom
C115293,00456,FABRIC CREAM STORAGE,1,2009-12-01 10:00:01,5.01,10878,United Kingdom
C119781,X0019,CERAMIC IVORY DECORATION,2,2009-12-01 10:02:55,38.77,10709,United Kingdom
C119781,00315,CERAMIC  HEART,1,2009-12-01 10:02:55,3.72,10709,United Kingdom
C119781,00483,METAL GREEN SIGN,1,2009-12-01 10:02:55,1.32,10709,United Kingdom
C119781,O0218,PAPER GOLD STORAGE,4,2009-12-01 10:02:55,25.25,10709,United Kingdom
C106632,00306,VINTAGE SILVER FRAME,24,2009-12-01 10:23:37,7.29,10520,United Kingdom
C100248,M0239,METAL PINK CANDLE,2,2009-12-01 10:26:17,11.66,11800,United Kingdom
C100248,O0091,METAL RED FRAME,1,2009-12-01 10:26:17,8.91,11800,United Kingdom
